423301,20.6333,74.2,Maharashtra,state,SATANA,20 38 00 N,074 12 00 E
415001,17.7167,74.0833,Maharashtra,state,SATARA,17 43 00 N,074 05 00 E
713422,23.2667,88.1333,West Bengal,state,SATGACHIA,23 16 00 N,088 08 00 E
485001,24.55,80.8333,Madhya Pradesh,state,SATNA,24 33 00 N,080 50 00 E
628704,8.45,77.9333,Tamil Nadu,state,SATTANKULAM,08 27 00 N,077 56 00 E
522403,16.45,80.1667,Andhra Pradesh,state,SATTENAPALLE,16 27 00 N,080 10 00 E
604153,11.5167,77.25,Tamil Nadu,state,SATYAMANGALAM,11 31 00 N,077 15 00 E
591126,15.7833,75.1667,Karnataka,state,SAUNDATTI,15 47 00 N,075 10 00 E
480106,21.7,78.8667,Madhya Pradesh,state,SAUSAR,21 42 00 N,078 52 00 E
581118,14.9667,75.45,Karnataka,state,SAVANUR,14 58 00 N,075 27 00 E
322021,26,76.4667,Rajasthan,state,SAWAI MADHOPUR,26 00 00 N,076 28 00 E
713423,23.0833,87.8167,West Bengal,state,SEHARA,23 05 00 N,087 49 00 E
466001,23.2,77.0833,Madhya Pradesh,state,SEHORE,23 12 00 N,077 05 00 E
813129,23.7167,82.55,Madhya Pradesh,state,SEMARIA,23 43 00 N,082 33 00 E
637409,11.3,78.2333,Tamil Nadu,state,SENDAMANGALAM,11 18 00 N,078 14 00 E
246746,29.5167,78.6,Uttar Pradesh,state,SEOHARA,29 31 00 N,078 36 00 E
480661,22.1,79.6,Madhya Pradesh,state,SEONI,22 06 00 N,079 36 00 E
480661,22.4833,77.5167,Madhya Pradesh,state,SEONI-MALWA,22 29 00 N,077 31 00 E
442102,20.75,78.5,Maharashtra,state,SEVAGRAM,20 45 00 N,078 30 00 E
125046,28.9167,75.6167,Haryana,state,SEWANI,28 55 00 N,075 37 00 E
400015,19,72.85,Maharashtra,state,SEWRI,19 00 00 N,072 51 00 E
585228,30.15,76.8667,Haryana,state,SHAHABAD,30 09 00 N,076 52 00 E
585228,17.1167,76.9,Karnataka,state,SHAHABAD,17 07 00 N,076 54 00 E
244922,27.65,79.9333,Uttar Pradesh,state,SHAHABAD,27 39 00 N,079 56 00 E
425409,21.5333,74.5,Maharashtra,state,SHAHADA,21 32 00 N,074 30 00 E
110032,28.6667,77.3,Delhi,union territory,SHAHDARA,28 40 00 N,077 18 00 E
484001,23.3167,81.4333,Madhya Pradesh,state,SHAHDOL,23 19 00 N,081 26 00 E
470339,24.3,79.1333,Madhya Pradesh,state,SHAHGARH,24 18 00 N,079 08 00 E
242001,27.8833,79.9167,Uttar Pradesh,state,SHAHJAHANPUR,27 53 00 N,079 55 00 E
380001,16.7,76.7833,Karnataka,state,SHAHPUR,16 42 00 N,076 47 00 E
