4960,ALVAREDO,-8.3000,42.1000
5320,ALVAREDOS,-7.0667,41.8000
4745,ALVARELHOS,-7.3333,41.7167
3330,ALVARES,-8.1000,40.0167
6160,?LVARO,-8.4833,40.5833
2205,ALVEGA,-8.0500,39.4667
2615,ALVERCA DO RIBATEJO,-9.0333333,38.9
2305,ALVIOBEIRA,-8.3500,39.6833
7920,ALVITO,-7.9833,38.2500
6150,ALVITO DA BEIRA,-7.8000,39.8333
6270,ALVOCO DA SERRA,-7.6667,40.3000
8500,ALVOR,-8.5667,37.1333
3240,ALVORGE,-8.4500,39.9833
2610,AMADORA,-9.2333,38.7500
7885,AMARELEJA,-7.2333,38.2000
4720,AMARES,-8.3500,41.6333
3045,AMEAL,-8.4333,40.5833
5140,AMEDO,-7.3333,41.2500
4925,AMONDE,-8.7667,41.7833
2404,AMOR,-8.8667,39.8000
2845,AMORA,-9.1167,38.6167
3780,AMOREIRA DA G?NDARA,-8.5333,40.4833
4990,ANAIS,-8.5167,41.7000
3060,ANÄ?,-8.5167,40.2667
4640,ANCEDE,-8.0500,41.1000
3305,ANCERIZ,-7.9167,40.2667
4910,?NCORA,-8.8500,41.8167
5425,ANELHE,-7.5833,41.6833
9701,ANGRA DO HERO?SMO,-27.2167,38.6500
4850,ANISS?,-8.1667,41.6000
3150,ANOBRA,-8.5333,40.1500
4660,ANREADE,-7.9833,41.1000
3550,ANTAS,-8.5833,39.7500
3050,ANTES,-8.4833,40.3833
2680,APELAÄ?O,-9.1333,38.8167
3885,ARADA,-8.6000,40.9167
4930,AR?O,-8.6333,42.0167
3475,ARCA,-8.2167,40.6000
9370,ARCO DA CALHETA,-17.1500,32.7000
9230,ARCO DE S?O JORGE,-16.9500,32.8167
4480,ARCOS,-28.4167,38.5667
4974,ARCOS DE VALDEVEZ,-8.4167,41.8500
4410,ARCOZELO,-8.0333,40.7500
3680,ARCOZELO DAS MAIAS,-8.2833,40.7333
4780,AREIA,-8.7833,41.4833
3300,ARGANIL,-7.9833,39.6667
5445,ARGERIZ,-7.3833,41.5833
4505,ARGONCILHE,-8.5333,41.0167
4625,ARIZ,-8.2166667,41.1
5114,ARMAMAR,-7.7000,41.1000
4890,ARNOIA,-8.0167,41.3667
3730,AR?ES,-8.6500,41.2833
2420,ARRABAL,-8.8833,39.5000
7040,ARRAIOLOS,-7.9833,38.7167
2630,ARRANH?,-9.1333,38.9500
4595,ARREIGADA,-8.4000,41.2500
3700,ARRIFANA,-7.2000,40.5667
7340,ARRONCHES,-7.3500,39.3000
2634,ARRUDA DOS VINHOS,-9.0833,38.9833
5360,ASSARES,-7.0833,41.3333
7450,ASSUMAR,-7.3833,39.1333
2260,ATALAIA,-28.6833,38.5333
4880,ATEI,-7.9167,41.4667
5225,ATENOR,-6.4833,41.4167
2525,ATOUGUIA DA BALEIA,-9.3333,39.3333
3860,AVANCA,-8.5667,40.8000
2050,AVEIRAS DE BAIXO,-8.8667,39.1167
3810,AVEIRO,-8.6500,40.6333
4709,AVELEDA,-8.6833,41.2667
6430,AVELOSO,-8.0833,40.9833
4795,AVES,-8.8333,39.8167
4630,AVESSADAS,-8.1833,41.1500
4430,AVINTES,-8.5500,41.1167
2929,AZEIT?O,-9.0167,38.5167
3420,?ZERE,-8.1000,40.3500
4980,AZIAS,-8.3500,41.7667
2150,AZINHAGA,-8.5333,39.3500
8950,AZINHAL,-7.9833,38.6000
5200,AZINHOSO,-7.7333,37.3167
2665,AZUEIRA,-9.2833,39.0000
3660,BAI?ES,-8.1000,40.7500
4550,BAIRROS,-8.3500,41.1500
4840,BALANÄA,-8.3167,41.7000
4805,BALAZAR,-8.6333,41.4000
9950,BANDEIRAS,-28.4500,38.5333
4635,BANHO E CARVALHOSA,-8.15,41.25
8600,BAR?O DE S?O JO?O,-8.7833,37.1333
8650,BAR?O DE S?O MIGUEL,-8.8000,37.1000
2730,BARCARENA,-9.2833,38.7333
4809,BARCO,-7.8500,40.0500
3020,BARCOUÄO,-8.4667,40.3000
4740,BARQUEIROS,-8.7333,41.4833
7230,BARRANCOS,-6.9833,38.1333
2830,BARREIRO,-9.0667,38.6667
3465,BARREIRO DE BESTEIROS,-8.1833,40.5167
3505,BARREIROS,-9.1500,39.4167
2440,BATALHA,-8.5833,38.4000
7330,BEIR?,-7.5667,40.0333
4580,BEIRE,-8.5667,40.9500
7800,BEJA,-7.8667,38.0167
2605,BELAS,-8.3167,39.7167
6250,BELMONTE,-7.8667,37.0500
2120,BENAVENTE,-7.2333,40.4667
7160,BENCATEL,-7.4500,38.7500
2475,BENEDITA,-8.9833,39.4167
2416,BIDOEIRA DE CIMA,-8.7500,39.8500
3510,BOA ALDEIA,-8.0667,40.6333
3405,BOBADELA,-9.1000,38.8167
6185,BOGAS DE BAIXO,-7.7833,40.0500
2540,BOMBARRAL,-9.1500,39.2667
7150,BORBA,-7.4500,38.8000
4705,BRAGA,-8.4333,41.5500
5301,BRAGANÄA,-6.7500,41.8167
7490,BROTAS,-8.1500,38.8667
2670,BUCELAS,-9.1167,38.9000
3870,BUNHEIRO,-8.6500,40.7667
3770,BUSTOS,-8.6000,40.5000
7460,CABEÄO DE VIDE,-7.5833,39.1333
6100,CABEÄUDO,-8.1500,39.8333
7050,CABRELA,-9.3500,38.8667
3320,CABRIL,-8.0333,41.7167
8800,CACHOPO,-8.5167,41.6333
3800,CACIA,-8.6000,40.6833
2500,CALDAS DA RAINHA,-9.1333,39.4000
9930,CALHETA DE NESQUIM,-28.0833,38.4000
3840,CALV?O,-7.5500,41.7833
4810,CALVOS,-9.2167,38.8333
9135,CAMACHA,-16.3333,33.0833
9300,C?MARA DE LOBOS,-16.9667,32.6333
2681,CAMARATE,-9.1333,38.8000
4775,CAMBESES,-8.5333,41.4833
9350,CAMPAN?RIO,-17.0333,32.6500
2565,CAMPELOS,-8.2000,39.9333
4440,CAMPO,-7.9167,40.7000
7370,CAMPO MAIOR,-7.0667,39.0167
4920,CAMPOS,-8.0167,41.6667
3525,CANAS DE SENHORIM,-7.9000,40.5000
5090,CANDEDO,-7.1167,41.8333
9555,CANDEL?RIA,-28.5167,38.4500
1685,CANEÄAS,-9.2333333,38.8
4525,CANEDO,-8.6167,40.7833
3865,CANELAS,-8.3167,41.0667
2985,CANHA,-8.6167,38.7667
9360,CANHAS,-17.1167,32.6833
9125,CANIÄO,-16.8500,32.6333
7470,CANO,-8.6000,37.7667
2825,CAPARICA,-9.2000,38.6667
9545,CAPELAS,-25.6833,37.8333
9900,CAPELO,-28.7833,38.5833
4610,CARAMOS,-8.1667,41.3333
2775,CARCAVELOS,-8.4500,41.5667
2790,CARNAXIDE,-9.2500,38.7167
3430,CARREGAL DO SAL,-8.0000,40.4333
3720,CARREGOSA,-8.6333,40.5167
2070,CARTAXO,-8.7833,39.1500
3360,CARVALHO,-7.5000,40.3000
4590,CARVALHOSA,-8.4500,40.6167
2425,CARVIDE,-8.9000,39.8667
2655,CARVOEIRA,-9.4000,38.9333
3200,CASAL DE ERMIO,-8.2500,40.1500
5085,CASAL DE LOIVOS,-7.5333,41.2000
2750,CASCAIS,-9.4167,38.7000
7780,CASêVEL,-8.1833,37.7500
3280,CASTANHEIRA DE P?RA,-8.2167,40.0000
5130,CASTANHEIRO DO SUL,-7.5000,41.1167
6004,CASTELO BRANCO,-28.7333,38.5167
9970,CAVEIRA,-8.2167,39.2167
2761,CAXIAS,-9.2833333,38.7
5155,CEDOVIM,-7.3167,41.0333
3740,CEDRIM,-8.3333,40.7167
5060,CELEIR?S,-7.5667,41.2333
7555,CERCAL DO ALENTEJO,-8.6666667,37.8
6324,CERDEIRA,-8.5667,41.8833
3044,CERNACHE,-8.4667,40.1333
2140,CHAMUSCA,-8.5833,41.0167
2820,CHARNECA DA CAPARICA,-9.1833333,38.6166667
5400,CHAVES,-7.4667,41.7333
2640,CHELEIROS,-9.3333,38.8833
5210,CICOURO,-6.3000,41.6500
3004,COIMBRA,-8.4167,40.2000
2705,COLARES,-9.4500,38.8000
7630,COLOS,-8.4667,37.7333
7670,CONCEIÄ?O,-9.3167,38.7333
4815,CONDE,-7.9667,40.4333
2250,CONST?NCIA,-8.3333,39.4667
2855,CORROIOS,-9.1500,38.6333
2100,CORUCHE,-7.5333,40.7833
9980,CORVO,-31.1333,39.6667
5050,COVELINHAS,-7.6833,41.1500
4515,COVELO,-8.4666667,41.1
6200,COVILH?,-7.5000,40.2833
4415,CRESTUMA,-8.5000,41.0667
7940,CUBA,-7.8833,38.1667
3230,CUMEIRA,-9.0333,39.4667
9030,CURRAL DAS FREIRAS,-16.9667,32.7167
4460,CUST?IAS,-8.6333333,41.2
3610,DALVARES,-7.7667,41.0333
7350,ELVAS,-7.1667,38.8833
2644,ENCARNAÄ?O,-8.7333,40.6167
2330,ENTRONCAMENTO,-9.0833,39.2333
2659,ERICEIRA,-9.4167,38.9833
4520,ESCAP?ES,-8.5167,40.9167
4500,ESPINHO,-8.6500,41.0000
3864,ESTARREJA,-8.5667,40.7500
8400,ESTOMBAR,-8.4833,37.1500
2765,ESTORIL,-9.3667,38.7000
7100,ESTREMOZ,-7.5833,38.8500
7000,êVORA,-8.9667,39.5167
4824,FAFE,-8.1667,41.4500
2450,FAMALIC?O,-8.4500,40.4500
1689,FAM?ES,-9.2000,38.7833
4510,F?NZERES,-8.5333,41.1667
8005,FARO,-7.9333,37.0167
9625,FENAIS DA AJUDA,-25.3167,37.8500
3650,FERREIRA DE AVES,-7.6667,40.8167
3090,FIGUEIRA DA FOZ,-8.8667,40.1500
5180,FORNOS,-8.4500,40.2667
6030,FRATEL,-7.7500,39.6333
2660,FRIELAS,-9.1500,38.8167
9050,FUNCHAL,-16.9000,32.6333
6110,FUNDADA,-8.1500,39.7167
9675,FURNAS,-25.3167,37.7667
3830,GAFANHA DO CARMO,-8.7333,40.5833
7400,GALVEIAS,-8.0000,39.1500
9100,GAULA,-16.8167,32.6667
2125,GL?RIA DO RIBATEJO,-8.65,39.05
4420,GONDOMAR,-7.7167,40.6667
3270,GRAÄA,-8.2167,39.9000
7240,GRANJA,-8.8833,39.8500
9880,GUADALUPE,-28.0167,39.0667
6300,GUARDA,-7.2667,40.5333
4765,GUARDIZELA,-8.3667,41.3833
3640,GUILHEIRO,-7.4167,40.9000
4800,GUIMAR?ES,-8.3000,41.4500
9901,HORTA,-8.4833,40.4167
8401,LAGOA,-8.6667,40.6000
8601,LAGOS,-8.6667,37.1000
3220,LAMAS,-6.7167,41.8167
5100,LAMEGO,-7.8167,41.1000
2965,LANDEIRA,-8.6500,38.6000
4455,LAVRA,-8.7167,41.2500
2835,LAVRADIO,-9.0500,38.6667
4465,LEÄA DO BALIO,-8.6166667,41.2
2410,LEIRIA,-8.8000,39.7500
2795,LINDA A VELHA,-9.2500,38.7167
1300,LISBOA,-9.1333,38.7167
8100,LOULê,-8.0333,37.1333
2530,LOURINH?,-8.5667,41.1833
4535,LOUROSA,-8.5500,40.9833
3260,MAÄ?S DE DONA MARIA,-8.3333,39.8333
2405,MACEIRA,-9.3167,38.8667
4486,MACIEIRA DA MAIA,-8.6667,41.3500
4425,MAIA,-25.0167,36.9333
9800,MANADAS,-28.1000,38.6333
3094,MARINHA DAS ONDAS,-8.8167,40.0333
2430,MARINHA GRANDE,-8.9333,39.7500
4450,MATOSINHOS,-8.7000,41.1833
3054,MEALHADA,-8.4500,40.3667
6320,MEIM?O,-7.1167,40.2833
2725,MEM MARTINS,-9.3500,38.7833
2395,MINDE,-8.6833,39.5167
3070,MIRA,-8.7333,40.4333
2485,MIRA DE AIRE,-8.7167,39.5333
2864,MOITA,-8.9833,38.6500
7425,MONTARGIL,-7.8500,39.5333
2870,MONTIJO,-8.9667,38.7000
1885,MOSCAVIDE,-9.1000,38.7667
7860,MOURA,-7.8500,38.5000
3520,NELAS,-7.8500,40.5333
2510,?BIDOS,-8.6333,39.7333
2675,ODIVELAS,-9.1833,38.7833
2780,OEIRAS,-9.3167,38.6833
2620,OLIVAL BASTO,-7.8000,41.1667
6230,OURONDO,-7.6833,40.1500
3880,OVAR,-8.6333,40.8667
2770,PAÄO DE ARCOS,-9.2833,38.6833
4564,PAÄO DE SOUSA,-8.3500,41.1667
2950,PALMELA,-8.9000,38.5667
2445,PATAIAS,-9.0000,39.6667
7960,PEDR?G?O,-8.9500,39.9167
2520,PENICHE,-9.3833,39.3500
5054,PESO DA RêGUA,-7.7833,41.1667
2955,PINHAL NOVO,-8.9167,38.6333
6285,PI?D?O,-7.8167,40.2333
9500,PONTA DELGADA,-16.9833,32.8167
9385,PONTA DO PARGO,-17.2500,32.8000
1675,PONTINHA,-8.0000,39.1833
7300,PORTALEGRE,-7.4333,39.2833
8501,PORTIM?O,-8.5333,37.1333
4100,PORTO,-8.6167,41.1500
9225,PORTO DA CRUZ,-16.8333,32.7667
2740,PORTO SALVO,-9.3000,38.7167
9400,PORTO SANTO,-16.3333,33.0500
2625,P?VOA DE SANTA IRIA,-9.0667,38.8500
2621,P?VOA DE SANTO ADRI?O,-9.1666667,38.8
4490,P?VOA DE VARZIM,-8.7667,41.3833
9940,PRAINHA,-25.1167,36.9500
8125,QUARTEIRA,-8.1000,37.0667
2745,QUELUZ,-9.2500,38.7500
7170,REDONDO,-7.9833,40.2000
