7135TZ,6.513809,51.976702
7136JE,6.5271,51.9911
7136JZ,6.486127,52.000648
7136KA,6.517542,51.99296
7136KB,6.511907,52.000186
7136KC,6.484022,51.999555
7136KD,6.488291,52.00373
7136KE,6.491809,52.007571
7136KG,6.495236,51.9999
7136KH,6.503363,52.008523
7136KJ,6.501451,52.010072
7136KK,6.507399,52.007949
7136KL,6.514357,52.011234
7136KM,6.513359,52.014307
7136KN,6.534046,52.023214
7136KP,6.531972,52.019002
7136KR,6.5235,52.009339
7136KS,6.537021,52.008697
7136KT,6.546464,52.002288
7136KV,6.540396,52.005865
7136KW,6.544328,51.999809
7136KX,6.534128,52.000786
7136KZ,6.543802,51.999498
7136LA,6.534363,51.993664
7136LB,6.531013,51.995179
7136LC,6.534363,51.993664
7136LD,6.514244,51.994946
7136LE,6.521013,52.001963
7136LG,6.519529,52.004376
7136LH,6.519529,52.004376
7136LJ,6.517872,52.007785
7136LK,6.521013,52.001963
7136LL,6.519529,52.004376
7136LM,6.519529,52.004376
7136LN,6.517872,52.007785
7136LP,6.521874,52.003811
7136LR,6.520182,52.00488
7136LS,6.520341,52.00703
7136LT,6.519604,52.007631
7136LV,6.518995,52.004643
7136LW,6.519625,52.003484
7136LX,6.51859,52.004107
7136LZ,6.518597,52.005931
7136MA,6.518627,52.0052
7136MB,6.518627,52.0052
7136MC,6.514439,52.009808
7136MD,6.514439,52.009808
7136MG,6.521025,52.005135
7136MH,6.520847,52.006695
7136MJ,6.521025,52.005135
7136MK,6.521025,52.005135
7136ML,6.519901,52.000576
7136MN,6.51849,52.002324
7136MP,6.51849,52.002324
7136MR,6.5201,52.0046
7136MS,6.5201,52.0046
7136RA,6.553872,52.006448
7137HA,6.582069,52.018522
7137HB,6.58213,52.026949
7137HC,6.597026,52.029183
7137HD,6.595766,52.025498
7137HE,6.594326,52.022097
7137HG,6.595185,52.018528
7137HH,6.608116,52.023405
7137HJ,6.625643,52.018622
7137HK,6.636761,52.031079
7137HL,6.630369,52.02841
7137HM,6.625643,52.018622
7137HN,6.61305,52.013406
7137KA,6.643739,52.014083
7137KB,6.585083,52.036989
7137KC,6.572566,52.031094
7137LE,6.602214,52.030807
7137MA,6.585846,52.001975
7137MB,6.584719,52.004644
7137MC,6.588344,52.007701
7137MD,6.594398,52.011979
7137ME,6.597193,52.008916
7137MG,6.597856,52.009642
7137MH,6.595992,52.009695
7137MJ,6.594976,52.01027
7137MK,6.597564,52.009135
7137ML,6.593195,52.009583
7137MN,6.593993,52.009021
7137MP,6.593939,52.00815
7137MR,6.593939,52.00815
7137MS,6.593031,52.007377
7137MT,6.592932,52.008359
7137MV,6.588412,52.011839
7137MX,6.593832,52.012389
7137MZ,6.609554,52.011846
7137NA,6.603626,52.014612
7137NB,6.595977,52.017045
7137NC,6.581206,52.010379
